City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Vila Franca do Campo
355,Levelland,US,60.42,broken clouds,33.5873,-102.378,Levelland
360,Plettenberg Bay,ZA,62.35,few clouds,-34.0527,23.3716,Plettenberg Bay
366,Rumonge,BI,73.18,light rain,-3.9736,29.4386,Rumonge
371,Chimbote,PE,74.66,overcast clouds,-9.0853,-78.5783,Chimbote
380,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Petermann
381,Port Lincoln,AU,62.06,clear sky,-34.7333,135.8667,Port Lincoln
384,Ahuimanu,US,74.91,few clouds,21.4447,-157.8378,Honolulu
386,Hurricane,US,70.14,clear sky,37.1753,-113.2899,Hurricane
406,Wattegama,LK,73.85,broken clouds,6.7989,81.4808,Wattegama
409,Graaff-Reinet,ZA,66.92,clear sky,-32.2522,24.5308,Graaff-Reinet
410,Mae Chan,TH,71.78,clear sky,20.1467,99.8526,Ban Du
412,Saint George,US,68.43,clear sky,37.1041,-113.5841,St. George
415,Bolivar,US,62.94,overcast clouds,37.6145,-93.4105,Bolivar
418,Riosucio,CO,74.73,overcast clouds,5.4216,-75.7032,Riosucio
424,Comodoro Rivadavia,AR,62.46,dust,-45.8667,-67.5,Comodoro Rivadavia
426,Port Macquarie,AU,60.89,clear sky,-31.4333,152.9167,Port Macquarie
433,Coronado,US,68.41,broken clouds,32.6859,-117.1831,San Diego
435,Pueblo Nuevo,MX,70.63,clear sky,23.3833,-105.3833,Valle de la Bufa
437,Darnah,LY,69.64,broken clouds,32.767,22.6367,Derna
438,Tirat Karmel,IL,67.55,clear sky,32.7617,34.9719,Haifa
439,Smyrna,US,71.31,scattered clouds,33.884,-84.5144,Marietta
442,Waverley,ZA,63.54,clear sky,-25.7023,28.2591,Pretoria
444,Masuguru,TZ,74.75,moderate rain,-11.3667,38.4167,Masuguru
448,Henties Bay,,63.14,clear sky,-22.116,14.2845,Hentiesbaai
459,Nangong,CN,63.39,overcast clouds,37.3581,115.3744,Xingtai
470,Sampit,ID,73.71,overcast clouds,-2.5333,112.95,Sampit
478,Muriwai Beach,NZ,64.87,overcast clouds,-36.8167,174.45,Auckland
482,Lumeje,AO,71.24,broken clouds,-11.55,20.7833,Lumeje
489,Serik,TR,62.85,few clouds,36.9169,31.0989,Serik
490,Half Moon Bay,US,62.55,mist,37.4636,-122.4286,Half Moon Bay
491,Lebanon,US,68.27,few clouds,36.2081,-86.2911,Lebanon
492,Livingstone,ZM,69.31,light rain,-17.8419,25.8543,Livingstone
506,Davidson,US,68.5,overcast clouds,36.1501,-86.7833,Nashville
514,Na Wa,TH,68.07,overcast clouds,17.4897,104.1006,Na Wa
520,Ciawi,ID,66.38,scattered clouds,-7.5117,107.9767,Ipin Servis
522,Valdivia,CL,62.69,overcast clouds,-39.8142,-73.2459,Valdivia
526,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Valparaíso
528,Santiago Del Estero,AR,67.33,overcast clouds,-27.7951,-64.2615,Santiago del Estero
530,Faya,SA,70.32,clear sky,18.3851,42.4509,Faya
537,Chuy,UY,70.41,overcast clouds,-33.6971,-53.4616,Chuy
538,Launceston,AU,60.62,scattered clouds,-41.45,147.1667,Launceston
552,Peniche,PT,62.29,overcast clouds,39.3558,-9.3811,"Peniche, Portugal"
553,Palaikastron,GR,62.46,broken clouds,35.2,26.25,Palekastro
554,Kununurra,AU,71.58,scattered clouds,-15.7667,128.7333,Kununurra
557,Luderitz,,62.26,clear sky,-26.6481,15.1594,Luderitz
565,San Quintin,MX,62.69,few clouds,30.4833,-115.95,Lázaro Cárdenas
569,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,Nouakchott
579,Jorhat,IN,69.58,overcast clouds,26.75,94.2167,Jorhat
585,Almonte,ES,63.28,light rain,37.2647,-6.5167,Almonte
586,Camabatela,AO,66.52,light rain,-8.1881,15.375,Camabatela
594,Atambua,ID,71.67,clear sky,-9.1061,124.8925,Atambua
595,Panguna,PG,69.64,light rain,-6.3164,155.4848,Panguna
600,Dembi Dolo,ET,66.52,broken clouds,8.5333,34.8,Dembi Dolo
604,Det Udom,TH,71.42,broken clouds,14.906,105.0784,Mueang Det
605,Praia Da Vitoria,PT,62.85,few clouds,38.7333,-27.0667,Praia da Vitória
608,Teguise,ES,64.62,few clouds,29.0605,-13.564,Teguise
610,Hervey Bay,AU,71.65,clear sky,-25.2986,152.8535,Hervey Bay
611,Ironton,US,60.85,overcast clouds,38.5368,-82.6829,Ashland
625,Jimma,ET,70.88,broken clouds,7.6667,36.8333,Jimma
628,Mackay,AU,70.68,scattered clouds,-21.15,149.2,Mackay
638,Gasa,PS,68.88,clear sky,31.5,34.4667,Gaza
641,Sao Filipe,CV,71.49,clear sky,14.8961,-24.4956,Sao Filipe
644,Anqing,CN,61.3,overcast clouds,30.5092,117.0506,Anqing
647,Machico,PT,62.71,scattered clouds,32.7,-16.7667,Machico
652,La Palma,US,66.09,haze,33.8464,-118.0467,Buena Park
654,Okakarara,,74.3,clear sky,-20.5833,17.4333,Okakarara
660,Oranjemund,,61.45,clear sky,-28.55,16.4333,Oranjemund
675,Marsa Matruh,EG,65.52,clear sky,31.3525,27.2453,Marsa Matruh
678,Moron,AR,72.81,clear sky,-34.6534,-58.6198,Morón
683,Ilula,TZ,63.52,broken clouds,-7.6766,36.0366,Ilula
685,Turkistan,KZ,73.22,clear sky,43.0,68.0,
697,Puquio,PE,61.41,broken clouds,-14.7,-74.1333,C.p Puquio
698,Ulladulla,AU,61.7,moderate rain,-35.35,150.4667,Ulladulla
700,Punta De Bombon,PE,71.65,scattered clouds,-17.1717,-71.7931,C.p la Punta de de Bombon
702,De Aar,ZA,63.63,clear sky,-30.6497,24.0123,De Aar
705,Aksu,CN,62.6,clear sky,41.1231,80.2644,Aksu Prefecture
